,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,3.4,"30 km SW of Hawthorne, Nevada",1483223201019,1655599263006,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00571780,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00571780&format=geojson,5,2.7,3.74,,reviewed,0,179,nn,00571780,",nc72746710,nn00571780,us10007nyi,",",nc,nn,us,",",dyfi,impact-text,origin,phase-data,scitech-link,shakemap,",47,0.007,0.2072,54.25,ml,earthquake,"M 3.4 - 30 km SW of Hawthorne, Nevada",0,Point,"[-118.9031, 38.3583, 5.9]",0
0,2.37,"20 km NW of Parkfield, California",1483219585870,1486816592830,,https://earthquake.usgs.gov/earthquakes/eventpage/nc72746655,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72746655&format=geojson,2,2,,,reviewed,0,87,nc,72746655,",nc72746655,",",nc,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",80,0.03514,0.05,46,md,earthquake,"M 2.4 - 20 km NW of Parkfield, California",1,Point,"[-120.5898333, 36.0343333, 7.94]",1
0,2.22,"15km NE of Coachella, CA",1483217500420,1486590208137,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37774864,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37774864&format=geojson,,,,,reviewed,0,76,ci,37774864,",ci37774864,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",65,0.1137,0.15,38,ml,earthquake,"M 2.2 - 15km NE of Coachella, CA",2,Point,"[-116.0401667, 33.7611667, 2.78]",2
0,2.37,"14km S of Big Bear Lake, CA",1483214651190,1486590467592,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37774816,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37774816&format=geojson,0,1,,,reviewed,0,86,ci,37774816,",ci37774816,",",ci,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",101,0.02695,0.12,21,ml,earthquake,"M 2.4 - 14km S of Big Bear Lake, CA",3,Point,"[-116.9225, 34.1181667, 6.82]",3
0,2.27,"8km SE of Niland, CA",1483209912530,1486582502639,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37774688,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37774688&format=geojson,,,,,reviewed,0,79,ci,37774688,",ci37774688,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",40,0.1128,0.24,104,ml,earthquake,"M 2.3 - 8km SE of Niland, CA",4,Point,"[-115.4541667, 33.1906667, 10.59]",4
0,2.1,"27 km WSW of Hawthorne, Nevada",1483187032993,1530555151874,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00571705,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00571705&format=geojson,,,,,reviewed,0,68,nn,00571705,",nn00571705,",",nn,",",origin,phase-data,",32,0.033,0.1807,57.43,ml,earthquake,"M 2.1 - 27 km WSW of Hawthorne, Nevada",5,Point,"[-118.8882, 38.3888, 11.2]",5
0,2.3,"29 km WSW of Hawthorne, Nevada",1483143244799,1530555128335,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00571586,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00571586&format=geojson,,,,,reviewed,0,81,nn,00571586,",nn00571586,",",nn,",",origin,phase-data,",31,0.026,0.2116,55.03,ml,earthquake,"M 2.3 - 29 km WSW of Hawthorne, Nevada",6,Point,"[-118.9081, 38.3803, 9.5]",6
0,2.54,"19 km N of Paragonah, Utah",1483114704000,1490309530040,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60178442,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60178442&format=geojson,,,,,reviewed,0,99,uu,60178442,",us10007nti,uu60178442,",",us,uu,",",origin,phase-data,",24,0.1566,0.18,55,ml,earthquake,"M 2.5 - 19 km N of Paragonah, Utah",7,Point,"[-112.8093333, 38.0556667, 11.09]",7
0,2.5,"29 km SW of Hawthorne, Nevada",1483104474349,1530555119106,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00571484,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00571484&format=geojson,1,2,,,reviewed,0,96,nn,00571484,",nn00571484,nc72746210,us10007nrr,",",nn,nc,us,",",dyfi,focal-mechanism,origin,phase-data,scitech-link,",31,0.009,0.1803,54.67,ml,earthquake,"M 2.5 - 29 km SW of Hawthorne, Nevada",8,Point,"[-118.9001, 38.3646, 7]",8
0,2.6,"70 km ESE of Kingston, Nevada",1483093623378,1530555110038,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00571451,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00571451&format=geojson,,,,,reviewed,0,104,nn,00571451,",us10007nqz,nn00571451,",",us,nn,",",origin,phase-data,",11,0.571,0.2321,102.96,ml,earthquake,"M 2.6 - 70 km ESE of Kingston, Nevada",9,Point,"[-116.3863, 38.8589, 7.7]",9
