,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,3,"10 km NNW of Hollister, California",157759393360,1481756672130,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1022401,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1022401&format=geojson,,,,,reviewed,0,138,nc,1022401,",nc1022401,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",49,0.08649,0.09,58,md,earthquake,"M 3.0 - 10 km NNW of Hollister, California",0,Point,"[-121.4591667, 36.9315, 5.226]",0
0,2.01,"12 km NNW of Sunny Slopes, California",157757396310,1481756657831,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1022399,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1022399&format=geojson,,,,,reviewed,0,62,nc,1022399,",nc1022399,",",nc,",",nearby-cities,origin,phase-data,",7,0.427,0.04,324,md,earthquake,"M 2.0 - 12 km NNW of Sunny Slopes, California",1,Point,"[-118.7285, 37.6778333, 2.904]",1
0,3.3,"9 km NW of Hollister, California",157756084910,1481756652510,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1022398,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1022398&format=geojson,,,,,reviewed,0,168,nc,1022398,",nc1022398,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",73,0.03243,0.12,52,ml,earthquake,"M 3.3 - 9 km NW of Hollister, California",2,Point,"[-121.475, 36.9191667, 4.194]",2
0,3.17,"10 km NNW of Hollister, California",157755131150,1481756643790,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1022397,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1022397&format=geojson,,,,,reviewed,0,155,nc,1022397,",nc1022397,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",37,0.04595,0.09,58,md,earthquake,"M 3.2 - 10 km NNW of Hollister, California",3,Point,"[-121.4605, 36.9333333, 5.496]",3
0,3.64,"10 km NNW of Hollister, California",157753968520,1481756631460,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1022396,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1022396&format=geojson,,,,,reviewed,0,204,nc,1022396,",nc1022396,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",48,0.04595,0.1,58,md,earthquake,"M 3.6 - 10 km NNW of Hollister, California",4,Point,"[-121.4606667, 36.9328333, 4.644]",4
0,2.5,"10 km NNW of Hollister, California",157753755140,1481756620442,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1022395,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1022395&format=geojson,,,,,reviewed,0,96,nc,1022395,",nc1022395,",",nc,",",nearby-cities,origin,phase-data,",23,0.04595,0.09,57,md,earthquake,"M 2.5 - 10 km NNW of Hollister, California",5,Point,"[-121.4601667, 36.9311667, 4.374]",5
0,3.28,Central California,157753449520,1481756613497,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1022394,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1022394&format=geojson,,,,,reviewed,0,166,nc,1022394,",nc1022394,",",nc,",",nearby-cities,origin,phase-data,",19,0.04324,0.09,62,md,earthquake,M 3.3 - Central California,6,Point,"[-121.4631667, 36.9305, 4.504]",6
0,4.3,"10 km NNW of Hollister, California",157753320940,1481756605120,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1022393,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1022393&format=geojson,,,,,reviewed,0,284,nc,1022393,",nc1022393,usp00009b1,",",nc,us,",",focal-mechanism,nearby-cities,origin,phase-data,",76,0.04595,0.13,63,ml,earthquake,"M 4.3 - 10 km NNW of Hollister, California",7,Point,"[-121.4606667, 36.9335, 9.074]",7
0,2.95,"9 km NW of Hollister, California",157732754800,1481756593649,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1022392,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1022392&format=geojson,,,,,reviewed,0,134,nc,1022392,",nc1022392,",",nc,",",nearby-cities,origin,phase-data,",26,0.03694,0.1,51,md,earthquake,"M 3.0 - 9 km NW of Hollister, California",8,Point,"[-121.4691667, 36.9138333, 4.484]",8
0,2.61,"24 km ENE of Soledad, California",157691010430,1481756586320,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1022391,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1022391&format=geojson,,,,,reviewed,0,105,nc,1022391,",nc1022391,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",40,0.02523,0.06,65,md,earthquake,"M 2.6 - 24 km ENE of Soledad, California",9,Point,"[-121.0878333, 36.533, 9.204]",9
