,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,3.2,"27 km N of Skýros, Greece",604543586310,1415321018673,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0003scy,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0003scy&format=geojson,,,,,reviewed,0,158,us,p0003scy,",usp0003scy,",",us,",",origin,phase-data,",,,0.9,,ml,earthquake,"M 3.2 - 27 km N of Skýros, Greece",0,Point,"[24.528, 39.146, 10]",0
0,4,"26 km N of Skýros, Greece",604542055450,1415321018668,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0003scw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0003scw&format=geojson,,,,,reviewed,0,246,us,p0003scw,",usp0003scw,",",us,",",origin,phase-data,",,,1,,mb,earthquake,"M 4.0 - 26 km N of Skýros, Greece",1,Point,"[24.568, 39.145, 8]",1
0,4.7,"28 km N of Skýros, Greece",604540476960,1415321018660,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0003scv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0003scv&format=geojson,,,,,reviewed,0,340,us,p0003scv,",usp0003scv,",",us,",",impact-text,origin,phase-data,",,,1,,mb,earthquake,"M 4.7 - 28 km N of Skýros, Greece",2,Point,"[24.506, 39.155, 9.7]",2
0,3.1,"20 km N of Skýros, Greece",604536314660,1415321018659,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0003scu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0003scu&format=geojson,,,,,reviewed,0,148,us,p0003scu,",usp0003scu,",",us,",",origin,phase-data,",,,0.8,,ml,earthquake,"M 3.1 - 20 km N of Skýros, Greece",3,Point,"[24.541, 39.092, 10]",3
0,3,"24 km N of Skýros, Greece",604534444570,1415321018657,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0003sct,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0003sct&format=geojson,,,,,reviewed,0,138,us,p0003sct,",usp0003sct,",",us,",",origin,phase-data,",,,0.5,,ml,earthquake,"M 3.0 - 24 km N of Skýros, Greece",4,Point,"[24.549, 39.124, 10]",4
0,3.5,"26 km NNW of Skýros, Greece",604533982780,1415321018655,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0003scs,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0003scs&format=geojson,,,,,reviewed,0,188,us,p0003scs,",usp0003scs,",",us,",",origin,phase-data,",,,0.8,,ml,earthquake,"M 3.5 - 26 km NNW of Skýros, Greece",5,Point,"[24.481, 39.137, 10]",5
0,3.1,"25 km N of Skýros, Greece",604521575680,1415321018644,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0003scp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0003scp&format=geojson,,,,,reviewed,0,148,us,p0003scp,",usp0003scp,",",us,",",origin,phase-data,",,,0.4,,ml,earthquake,"M 3.1 - 25 km N of Skýros, Greece",6,Point,"[24.558, 39.13, 10]",6
0,3.4,"26 km N of Skýros, Greece",604499258180,1415321018621,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0003scd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0003scd&format=geojson,,,,,reviewed,0,178,us,p0003scd,",usp0003scd,",",us,",",origin,phase-data,",,,0.7,,ml,earthquake,"M 3.4 - 26 km N of Skýros, Greece",7,Point,"[24.518, 39.136, 10]",7
0,2.7,"29 km SSE of Karyes, Greece",604140769670,1415321017863,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0003s68,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0003s68&format=geojson,,,,,reviewed,0,112,us,p0003s68,",usp0003s68,",",us,",",origin,phase-data,",,,0.5,,ml,earthquake,"M 2.7 - 29 km SSE of Karyes, Greece",8,Point,"[24.351, 40.005, 10]",8
0,2.8,"16 km W of Gökçeada, Turkey",604104242540,1415321017668,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0003s5m,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0003s5m&format=geojson,,,,,reviewed,0,121,us,p0003s5m,",usp0003s5m,",",us,",",origin,phase-data,",,,1.5,,md,earthquake,"M 2.8 - 16 km W of Gökçeada, Turkey",9,Point,"[25.713, 40.207, 10]",9
